date,open,high,low,close,volume
2026-06-19,2700.00,2710.00,2580.00,2580.00,374544500
2026-06-22,2580.00,2590.00,2500.00,2510.00,194270900
2026-06-23,2500.00,2610.00,2500.00,2540.00,173184800
2026-06-24,2570.00,2590.00,2480.00,2500.00,173348900
2026-06-25,2530.00,2540.00,2500.00,2500.00,94937900
2026-06-26,2420.00,2480.00,2370.00,2480.00,220918000
2026-06-29,2470.00,2470.00,2410.00,2410.00,124858100
2026-06-30,2390.00,2400.00,2350.00,2350.00,318664200
2026-07-01,2380.00,2450.00,2350.00,2440.00,111997100
2026-07-02,2470.00,2490.00,2420.00,2450.00,112046100
2026-07-03,2480.00,2540.00,2470.00,2520.00,83587600
2026-07-06,2520.00,2530.00,2470.00,2480.00,48614200
2026-07-07,2460.00,2480.00,2420.00,2480.00,119404100
2026-07-08,2480.00,2540.00,2470.00,2510.00,98228500
2026-07-09,2500.00,2510.00,2450.00,2510.00,68742100
2026-07-10,2480.00,2500.00,2440.00,2480.00,129033800
2026-07-13,2480.00,2520.00,2460.00,2510.00,80358400
2026-07-14,2500.00,2600.00,2490.00,2560.00,118565500
2026-07-15,2560.00,2570.00,2490.00,2520.00,142706600
2026-07-16,2520.00,2560.00,2510.00,2530.00,56858100
2026-07-17,2550.00,2670.00,2540.00,2660.00,143963900
2026-07-20,2670.00,2750.00,2660.00,2710.00,146905500
2026-07-21,2770.00,2770.00,2700.00,2750.00,140279600
2026-07-22,2730.00,2730.00,2670.00,2700.00,122114100
2026-07-23,2710.00,2710.00,2650.00,2650.00,91296700
2026-07-24,2600.00,2630.00,2580.00,2630.00,92442500
2026-07-27,2670.00,2670.00,2560.00,2590.00,60467000
2026-07-28,2580.00,2620.00,2560.00,2560.00,69694800
2026-07-29,2560.00,2610.00,2540.00,2560.00,76414900
2026-07-30,2600.00,2670.00,2590.00,2670.00,103302600
2026-07-31,2670.00,2680.00,2600.00,2630.00,91987400
2026-08-03,2600.00,2740.00,2600.00,2740.00,112278700
2026-08-04,2740.00,2790.00,2710.00,2790.00,90753600
2026-08-05,2780.00,2780.00,2700.00,2710.00,109494500
2026-08-06,2710.00,2720.00,2650.00,2650.00,138223900
2026-08-07,2650.00,2720.00,2650.00,2710.00,66412400
2026-08-10,2720.00,2730.00,2620.00,2620.00,93974000
2026-08-11,2640.00,2650.00,2570.00,2610.00,84124100
2026-08-12,2610.00,2620.00,2570.00,2590.00,120373100
2026-08-13,2600.00,2610.00,2570.00,2590.00,76115000
2026-08-14,2600.00,2630.00,2590.00,2620.00,80799200
2026-08-18,2640.00,2640.00,2600.00,2600.00,80089000
2026-08-19,2600.00,2610.00,2580.00,2600.00,45580300
2026-08-20,2610.00,2620.00,2590.00,2610.00,86747700
2026-08-21,2610.00,2640.00,2610.00,2610.00,72276500
2026-08-24,2620.00,2640.00,2600.00,2620.00,46321100
2026-08-25,2620.00,2620.00,2620.00,2620.00,0
2026-08-26,2630.00,2630.00,2590.00,2600.00,82579200
2026-08-27,2590.00,2610.00,2550.00,2610.00,115845900
2026-08-28,2620.00,2620.00,2570.00,2570.00,78958600
2026-08-31,2570.00,2600.00,2560.00,2600.00,204591800
2026-09-01,2600.00,2630.00,2590.00,2610.00,82430900
2026-09-02,2600.00,2610.00,2560.00,2590.00,105899600
2026-09-03,2600.00,2610.00,2580.00,2600.00,76989700
2026-09-04,2610.00,2630.00,2590.00,2610.00,84953700
2026-09-07,2610.00,2620.00,2600.00,2610.00,42030200
2026-09-08,2620.00,2670.00,2600.00,2650.00,173160300
2026-09-09,2650.00,2680.00,2630.00,2660.00,119056300
2026-09-10,2680.00,2680.00,2620.00,2630.00,87447500
2026-09-11,2620.00,2630.00,2590.00,2600.00,88455300
