date,open,high,low,close,volume
2026-06-18,695.00,715.00,665.00,710.00,350712700
2026-06-19,710.00,720.00,675.00,680.00,313674000
2026-06-22,690.00,695.00,640.00,655.00,233881300
2026-06-23,655.00,690.00,645.00,685.00,222694700
2026-06-24,685.00,690.00,605.00,610.00,323707600
2026-06-25,610.00,655.00,595.00,625.00,219314500
2026-06-26,625.00,630.00,555.00,565.00,358690900
2026-06-29,570.00,590.00,560.00,570.00,195970100
2026-06-30,575.00,575.00,525.00,530.00,196974600
2026-07-01,530.00,630.00,525.00,620.00,426419600
2026-07-02,610.00,650.00,595.00,615.00,461948300
2026-07-03,625.00,645.00,605.00,610.00,179242700
2026-07-06,610.00,635.00,590.00,615.00,172827000
2026-07-07,620.00,640.00,605.00,635.00,253276500
2026-07-08,630.00,630.00,600.00,600.00,146033800
2026-07-09,600.00,620.00,590.00,620.00,114843000
2026-07-10,625.00,635.00,615.00,620.00,134120800
2026-07-13,620.00,650.00,610.00,640.00,233289500
2026-07-14,645.00,670.00,630.00,630.00,308750400
2026-07-15,635.00,645.00,620.00,625.00,126517000
2026-07-16,630.00,640.00,615.00,630.00,113351900
2026-07-17,630.00,640.00,610.00,630.00,110360900
2026-07-20,635.00,670.00,635.00,670.00,310137800
2026-07-21,680.00,750.00,670.00,735.00,807199700
2026-07-22,735.00,755.00,705.00,720.00,485325400
2026-07-23,720.00,825.00,710.00,755.00,923643800
2026-07-24,750.00,755.00,690.00,700.00,547805800
2026-07-27,700.00,705.00,675.00,690.00,176720800
2026-07-28,680.00,705.00,670.00,670.00,165911800
2026-07-29,675.00,690.00,635.00,660.00,314585200
2026-07-30,660.00,670.00,645.00,650.00,157980200
2026-07-31,660.00,680.00,655.00,665.00,170972100
2026-08-03,680.00,690.00,655.00,660.00,182458100
2026-08-04,665.00,670.00,650.00,665.00,93814200
2026-08-05,675.00,690.00,665.00,675.00,174914600
2026-08-06,680.00,725.00,680.00,720.00,490208600
2026-08-07,735.00,750.00,720.00,740.00,406234600
2026-08-10,745.00,760.00,705.00,710.00,337201400
2026-08-11,710.00,740.00,670.00,720.00,301045000
2026-08-12,730.00,880.00,720.00,870.00,1709078600
2026-08-13,860.00,885.00,810.00,840.00,1546039600
2026-08-14,830.00,885.00,815.00,825.00,1028444500
2026-08-18,840.00,870.00,825.00,840.00,586936700
2026-08-19,840.00,840.00,810.00,815.00,277446300
2026-08-20,825.00,845.00,820.00,825.00,288162200
2026-08-21,835.00,860.00,820.00,835.00,440936300
2026-08-24,840.00,855.00,820.00,825.00,238597500
2026-08-26,825.00,830.00,770.00,770.00,478866600
2026-08-27,755.00,825.00,755.00,815.00,408065800
2026-08-28,820.00,855.00,795.00,810.00,455779700
2026-08-31,815.00,825.00,805.00,815.00,172393100
2026-09-01,820.00,905.00,815.00,905.00,950010800
2026-09-02,910.00,910.00,855.00,905.00,667961100
2026-09-03,910.00,955.00,900.00,910.00,953565500
2026-09-04,915.00,980.00,900.00,940.00,1015740100
2026-09-07,945.00,965.00,920.00,935.00,406473700
2026-09-08,935.00,970.00,930.00,935.00,265153300
2026-09-09,940.00,960.00,925.00,940.00,252878900
2026-09-10,950.00,1040.00,945.00,985.00,1038092300
2026-09-11,955.00,970.00,930.00,945.00,493057300
